country,country_name,current_account_usd,current_account_usd_source_snapshot_id,frequency,gdp_current_usd,gdp_current_usd_source_snapshot_id,inflation_cpi_annual_pct,inflation_cpi_annual_pct_source_snapshot_id,population_total,population_total_source_snapshot_id,schema_version,vintage_policy,year
CHN,China,132378493766.399,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,2317551298052.05,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,1.7764140766757,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1303720000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2005
CHN,China,231843041064.413,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,2791498472804.33,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,1.64943099455859,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1311020000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2006
CHN,China,353182677237.315,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,3604055822571.63,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,4.81676767378834,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1317885000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2007
CHN,China,420568516143.544,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,4667346414521.95,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,5.92525137041091,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1324655000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2008
CHN,China,243256567919.618,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,5189577094997.58,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,-0.728165250932898,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1331260000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2009
CHN,China,237810389607.954,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,6192564874453.29,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,3.17532475269199,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1337705000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2010
CHN,China,136096761577.55,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,7671757207851.29,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,5.55389892257493,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1345035000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2011
CHN,China,215391747469.441,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,8673664713189.24,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,2.6195243264554,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1354190000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2012
CHN,China,148203949879.877,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,9743124247267.24,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,2.62105001748114,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1363240000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2013
CHN,China,236046577873.629,efc888626d2d34dbd3fb13845f063c2797b10bee78497eb80a99c99eca06ece9,A,10674533168257.4,00d3d9e1ada87813a2535c6ee8864299f21ff4e19d2b6d5b1681365f45fccf21,1.9216416278852,dc2adab04e07d26e1bd3d4ca707f5a8e4cbc0224b15d07ef76ea39fbb1504b28,1371860000.0,d1c50ab18921d2735885891fcff0c4ad8ebc7786a0e887e95ebc9d5d4d5981b2,marco.global_macro_panel_row.v1,latest_revised_snapshot,2014
