period,interest_rate,inflation_yoy,growth_proxy_yoy
1982-10-31,9.71,4.90960213365204,-7.297183840978344
1982-11-30,9.2,4.380262265839305,-6.453455564528506
1982-12-31,8.95,3.754351245740315,-6.094369405179607
1983-01-31,8.68,3.640547638500976,-2.1617957673027437
1983-02-28,8.51,3.4253478478539385,-4.80711605673457
1983-03-31,8.77,3.5273366379284776,-3.3000212733612275
1983-04-30,8.8,3.922071315328133,-1.1144910610356185
1983-05-31,8.63,3.383203240143464,0.1549622026117571
1983-06-30,8.98,2.444113515914566,1.026359368436286
1983-07-31,9.37,2.3315805313616846,2.833903721658879
1983-08-31,9.56,2.4268127272437696,4.926882633568776
1983-09-30,9.45,2.726064820889173,6.617754646455559
1983-10-31,9.48,2.71509890659509,8.352191121480033
1983-11-30,9.34,3.1142647355853854,9.122581279910182
1983-12-31,9.47,3.7171532108345726,10.333411807462454
1984-01-31,9.56,4.2006175634155,10.463361980045075
1984-02-29,9.59,4.587045406609714,11.531265906474799
1984-03-31,9.91,4.77702762686866,11.179182732471023
1984-04-30,10.29,4.453977137177074,10.511115991140871
1984-05-31,10.32,4.243359841459654,10.450893070769185
1984-06-30,11.06,4.23500015729533,10.206253193241077
1984-07-31,11.23,4.21837923035049,9.004543934893752
1984-08-31,11.64,4.205998912736365,7.931612858491199
1984-09-30,11.3,4.1936910618862315,6.191065261811632
1984-10-31,9.99,4.177392224563727,5.418366484285741
1984-11-30,9.43,4.070329311350418,5.309671095141468
1984-12-31,8.38,3.9637861759038273,4.841012307394426
1985-01-31,8.35,3.4652167705572237,2.84747732488687
1985-02-28,8.5,3.542735261123322,2.6838023734993275
1985-03-31,8.58,3.720028368609049,2.3464493778408113
1985-04-30,8.27,3.519145833631333,1.538649058419925
1985-05-31,7.97,3.512463593127796,1.142653641464752
1985-06-30,7.53,3.598873233223582,0.728023193493626
1985-07-31,7.88,3.399760854141984,-0.022916500622335113
1985-08-31,7.9,3.2975196815550585,0.17783669695312587
1985-09-30,7.92,3.1957606768671285,0.8121708633418566
1985-10-31,7.99,3.1837895097608744,0.5117246796851997
1985-11-30,8.05,3.4534463089214,0.5265841609220364
1985-12-31,8.27,3.721359634043427,1.4527502258367746
1986-01-31,8.14,3.896596853338371,2.0219876531786207
1986-02-28,7.86,3.1484081933282395,1.0428706283099658
1986-03-31,7.48,2.130696631293056,0.17700441122877641
1986-04-30,6.99,1.5762959665257554,0.5381332484429765
1986-05-31,6.85,1.665163359244216,0.5404381214857092
1986-06-30,6.92,1.7520042420163313,0.1852335182332082
1986-07-31,6.56,1.65749650942126,1.3107799048935103
1986-08-31,6.17,1.5632502249826108,0.8213972355266953
1986-09-30,5.89,1.7423641147253692,0.7385586094908111
1986-10-31,5.85,1.5546723738299957,1.4753594274121147
1986-11-30,6.04,1.2762251613851292,1.5240459045071444
1986-12-31,6.91,1.1802225056627913,1.5096186736803299
1987-01-31,6.43,1.3556466083608028,0.6082122681462342
1987-02-28,6.1,1.8962193439814252,2.6220857320979993
1987-03-31,6.13,2.8018100249570783,3.4816423781071255
1987-04-30,6.37,3.6137626918566834,3.96948599869297
1987-05-31,6.85,3.6039936483196873,4.452164387754168
1987-06-30,6.73,3.679194693357656,5.3725012642502294
1987-07-31,6.58,3.851797243567492,5.400969168586163
1987-08-31,6.73,4.198919628684993,6.334439042182656
1987-09-30,7.22,4.183965834290877,6.472669005957106
1987-10-31,7.29,4.263523164443596,7.370684461719071
1987-11-30,6.69,4.429422023100433,7.457418349576388
1987-12-31,6.77,4.240918192509361,7.072719093518279
1988-01-31,6.83,4.046286361318087,7.402391732853056
1988-02-29,6.58,3.86012836968121,6.592827690111212
1988-03-31,6.58,3.7608279917159324,6.6945904529560005
1988-04-30,6.87,3.915245609718162,6.641916931106588
1988-05-31,7.09,3.905051487187303,5.809812946520917
1988-06-30,7.51,3.888178754420748,5.582902755654309
1988-07-31,7.75,4.0470438882955415,4.917887351483556
1988-08-31,8.01,4.02969223107644,4.670247125523509
1988-09-30,8.19,4.099634723624034,3.9641063883454697
1988-10-31,8.3,4.1725933670218645,3.070910516486007
1988-11-30,8.35,4.158426890663387,2.825891470905131
1988-12-31,8.76,4.317217186520878,2.7185677308185436
1989-01-31,9.12,4.385188252884941,3.0328034729720903
1989-02-28,9.36,4.542412511425564,2.08937665471488
1989-03-31,9.85,4.7767773731739664,2.092655255178385
1989-04-30,9.84,4.911515604749561,1.4992492817497916
1989-05-31,9.81,5.1420945814228505,1.1309470413554856
1989-06-30,9.53,5.040306774489667,0.8336456828266259
1989-07-31,9.24,4.939275532957647,-0.1504414293248654
1989-08-31,8.99,4.518222279323298,0.32445265976671706
1989-09-30,9.02,4.339608456376187,0.32351933669942784
1989-10-31,8.84,4.4850566165351715,-0.24151011520373217
1989-11-30,8.55,4.549931806966842,-0.14575042985420425
1989-12-31,8.45,4.535190125295962,-0.05075851865103271
1990-01-31,8.23,5.067429096326681,-0.8523567085913462
